40.0 deg N, 75.0 deg E Temperature Anomalies, March
Units: Degrees Celsius
Base Period: 1981-2010
Missing: -9999
Year,Value
1880,-0.61
1881,-1.78
1882,-3.78
1883,0.37
1884,-4.18
1885,-1.05
1886,-1.89
1887,-2.17
1888,1.80
1889,0.40
1890,-6.99
1891,-4.47
1892,-4.84
1893,-1.23
1894,-1.06
1895,1.10
1896,-1.74
1897,-3.58
1898,-4.96
1899,1.46
1900,-1.87
1901,0.88
1902,-1.97
1903,-6.78
1904,-0.85
1905,-7.99
1906,-1.47
1907,-3.10
1908,-4.99
1909,-2.86
1910,-4.18
1911,-0.80
1912,-1.76
1913,-4.39
1914,0.05
1915,-0.79
1916,-1.91
1917,-2.24
1918,-1.35
1919,-3.61
1920,-3.65
1921,-3.52
1922,-1.67
1923,-1.05
1924,-2.76
1925,-0.54
1926,1.00
1927,-3.67
1928,-4.54
1929,-0.50
1930,-1.40
1931,-1.95
1932,1.32
1933,-3.37
1934,-3.25
1935,-1.06
1936,-4.90
1937,-3.15
1938,-2.74
1939,-2.37
1940,-0.46
1941,1.47
1942,-0.34
1943,-2.55
1944,1.96
1945,-3.99
1946,-2.34
1947,2.45
1948,-1.10
1949,-2.58
1950,-0.75
1951,-2.64
1952,-1.25
1953,-0.67
1954,-2.49
1955,-0.35
1956,-1.55
1957,0.24
1958,0.97
1959,-2.55
1960,-2.90
1961,-1.56
1962,3.08
1963,1.16
1964,0.23
1965,-0.95
1966,-0.92
1967,-0.47
1968,1.73
1969,0.50
1970,-2.97
1971,0.12
1972,-1.35
1973,-2.10
1974,-1.30
1975,-0.26
1976,-2.16
1977,0.27
1978,-1.62
1979,-2.30
1980,-2.11
1981,1.83
1982,-0.74
1983,-1.34
1984,0.18
1985,-3.17
1986,-2.71
1987,0.60
1988,-2.05
1989,-0.48
1990,-1.63
1991,-1.56
1992,-3.25
1993,-1.31
1994,-0.23
1995,-1.24
1996,-1.52
1997,1.04
1998,-1.71
1999,-1.39
2000,-0.09
2001,2.23
2002,3.20
2003,-1.12
2004,1.72
2005,3.34
2006,2.74
2007,1.18
2008,4.52
2009,2.14
2010,0.78
2011,-0.90
2012,-0.94
2013,4.98
2014,0.80
2015,0.46
2016,4.14
2017,-0.82
2018,4.59
2019,4.06
2020,2.83
2021,1.57
