2021	1.57°C	124
2020	2.83°C	134
2019	4.06°C	138
2018	4.59°C	141
2017	-0.82°C	84
2016	4.14°C	139
2015	0.46°C	109
2014	0.80°C	113
2013	4.98°C	142
2012	-0.94°C	80
2011	-0.90°C	82
2010	0.78°C	112
2009	2.14°C	130
2008	4.52°C	140
2007	1.18°C	120
2006	2.74°C	133
2005	3.34°C	137
2004	1.72°C	125
2003	-1.12°C	73
2002	3.20°C	136
2001	2.23°C	131
2000	-0.09°C	100
1999	-1.39°C	64
1998	-1.71°C	54
1997	1.04°C	117
1996	-1.52°C	61
1995	-1.24°C	71
1994	-0.23°C	99
1993	-1.31°C	68
1992	-3.25°C	21
1991	-1.56°C	58
1990	-1.63°C	56
1989	-0.48°C	93
1988	-2.05°C	45
1987	0.60°C	111
1986	-2.71°C	31
1985	-3.17°C	23
1984	0.18°C	103
1983	-1.34°C	67
1982	-0.74°C	88
1981	1.83°C	128
1980	-2.11°C	43
1979	-2.30°C	39
1978	-1.62°C	57
1977	0.27°C	106
1976	-2.16°C	42
1975	-0.26°C	98
1974	-1.30°C	69
1973	-2.10°C	44
1972	-1.35°C	65
1971	0.12°C	102
1970	-2.97°C	26
1969	0.50°C	110
1968	1.73°C	126
1967	-0.47°C	94
1966	-0.92°C	81
1965	-0.95°C	79
1964	0.23°C	104
1963	1.16°C	119
1962	3.08°C	135
1961	-1.56°C	58
1960	-2.90°C	27
1959	-2.55°C	34
1958	0.97°C	115
1957	0.24°C	105
1956	-1.55°C	60
1955	-0.35°C	96
1954	-2.49°C	36
1953	-0.67°C	89
1952	-1.25°C	70
1951	-2.64°C	32
1950	-0.75°C	87
1949	-2.58°C	33
1948	-1.10°C	74
1947	2.45°C	132
1946	-2.34°C	38
1945	-3.99°C	13
1944	1.96°C	129
1943	-2.55°C	34
1942	-0.34°C	97
1941	1.47°C	123
1940	-0.46°C	95
1939	-2.37°C	37
1938	-2.74°C	30
1937	-3.15°C	24
1936	-4.90°C	6
1935	-1.06°C	76
1934	-3.25°C	21
1933	-3.37°C	20
1932	1.32°C	121
1931	-1.95°C	47
1930	-1.40°C	63
1929	-0.50°C	92
1928	-4.54°C	8
1927	-3.67°C	15
1926	1.00°C	116
1925	-0.54°C	91
1924	-2.76°C	29
1923	-1.05°C	78
1922	-1.67°C	55
1921	-3.52°C	19
1920	-3.65°C	16
1919	-3.61°C	17
1918	-1.35°C	65
1917	-2.24°C	40
1916	-1.91°C	48
1915	-0.79°C	86
1914	0.05°C	101
1913	-4.39°C	10
1912	-1.76°C	52
1911	-0.80°C	85
1910	-4.18°C	11
1909	-2.86°C	28
1908	-4.99°C	4
1907	-3.10°C	25
1906	-1.47°C	62
1905	-7.99°C	1
1904	-0.85°C	83
1903	-6.78°C	3
1902	-1.97°C	46
1901	0.88°C	114
1900	-1.87°C	50
1899	1.46°C	122
1898	-4.96°C	5
1897	-3.58°C	18
1896	-1.74°C	53
1895	1.10°C	118
1894	-1.06°C	76
1893	-1.23°C	72
1892	-4.84°C	7
1891	-4.47°C	9
1890	-6.99°C	2
1889	0.40°C	108
1888	1.80°C	127
1887	-2.17°C	41
1886	-1.89°C	49
1885	-1.05°C	78
1884	-4.18°C	11
1883	0.37°C	107
1882	-3.78°C	14
1881	-1.78°C	51
1880	-0.61°C	90
