Name,Last Name,First Name,Graduation date,Rank at graduation,Class,Graduated from,Pilot type,Military hometown of record,State,Aerial Victory Credits,Web Profile
"Adams, John H., Jr.",Adams," John H., Jr.",15-Apr-45,2nd Lt,SE-45-B,TAAF,Single engine,Kansas City,KS,,https://cafriseabove.org/john-h-adams-jr/
"Adams, Paul",Adams, Paul,29-Apr-43,2nd Lt,SE-43-D,TAAF,Single engine,Greenville,SC,,https://cafriseabove.org/paul-adams/
"Adkins, Rutherford H.",Adkins, Rutherford H.,16-Oct-44,2nd Lt,SE-44-I-1,TAAF,Single engine,Alexandria,VA,,https://cafriseabove.org/rutherford-h-adkins/
"Adkins, Winston A.",Adkins, Winston A.,8-Feb-44,2nd Lt,TE-44-B,TAAF,Twin engine,Chicago,IL,,
"Alexander, Halbert L.",Alexander, Halbert L.,20-Nov-44,2nd Lt,SE-44-I,TAAF,Single engine,Georgetown,IL,,https://cafriseabove.org/halbert-l-alexander/
"Alexander, Harvey R.",Alexander, Harvey R.,15-Apr-44,2nd Lt,TE-44-D,TAAF,Twin engine,Georgetown,IL,,https://cafriseabove.org/harvey-r-alexander/
"Alexander, Robert R.",Alexander, Robert R.,30-Jun-43,2nd Lt,SE-43-F,TAAF,Single engine,Harrisburg,PA,,
"Alexander, Walter G., III",Alexander," Walter G., III",27-Jun-45,2nd Lt,SE-45-D,TAAF,Single engine,Orange,NJ,,
"Allen, Carl V.",Allen, Carl V.,28-Jun-46,2nd Lt,SE-46-C,TAAF,Single engine,Bronx,NY,,
"Allen, Clarence W.",Allen, Clarence W.,25-Mar-43,2nd Lt,SE-43-C,TAAF,Single engine,Mobile,AL,"Downed 1/2 Fw-190 on January 27, 1944",
"Allen, Walter H.",Allen, Walter H.,28-Dec-44,Flight Officer,TE-44-J,TAAF,Twin engine,Kansas City,KS,,
"Allison, James M.",Allison, James M.,28-Jun-46,2nd Lt,TE-46-C,TAAF,Twin engine,Chicago,IL,,
"Alsbrook, William N.",Alsbrook, William N.,1-Oct-43,2nd Lt,SE-43-I,TAAF,Single engine,Kansas City,KS,,https://cafriseabove.org/william-noel-alsbrook/
"Alston, William R",Alston, William R,20-Nov-44,2nd Lt,SE-44-I,TAAF,Single engine,Huntington,WV,,
"Anders, Emet R.",Anders, Emet R.,8-Sep-44,2nd Lt,SE-44-H,TAAF,Single engine,Carbondale,IL,,
"Anderson, Paul T.",Anderson, Paul T.,16-Oct-44,1st Lt,TE-44-I-1,TAAF,Twin engine,Woodbine,NY,,
"Anderson, Rayfield A.",Anderson, Rayfield A.,1-Feb-44,2nd Lt,TE-44-K,TAAF,Twin engine,Indianapolis,IN,,
"Anderson, Robert D.",Anderson, Robert D.,15-Apr-44,2nd Lt,TE-44-D,TAAF,Twin engine,Indianapolis,IN,,
"Archer, Lee A.",Archer, Lee A.,28-Jul-43,2nd Lt,SE-43-G,TAAF,Single engine,New York,NY,"Downed 1 Me-109 on July 18, 1944; Downed 3 Me-109s on October 12, 1944",https://cafriseabove.org/profiles-of-tuskegee-airmen-lee-archer/
"Armistead, Richard S. A.",Armistead, Richard S. A.,27-Jun-44,Flight Officer,SE-44-F,TAAF,Single engine,Philadelphia,PA,,
"Armstrong, William P.",Armstrong, William P.,8-Sep-44,Flight Officer,SE-44-H,TAAF,Single engine,Providence,RI,,https://cafriseabove.org/william-p-armstrong/
"Ashby, Robert",Ashby, Robert,20-Nov-45,2nd Lt,TE-45-H,TAAF,Twin engine,Jersey City,NJ,,https://cafriseabove.org/robert-ashby/
"Ashley, Willie",Ashley, Willie,3-Jul-42,2nd Lt,SE-42-F,TAAF,Single engine,Sumter,SC,"Downed 1 Fw-190 on January 27, 1944",https://cafriseabove.org/willie-ashley-jr/
"Askins, Montro D.",Askins, Montro D.,1-Feb-44,2nd Lt,SE-44-K,TAAF,Single engine,Baltimore,MD,,
"Audant, Ludovic F.",Audant, Ludovic F.,8-Feb-44,,SE-44-B,TAAF,Single engine,Port Au Prince,HT,,https://cafriseabove.org/ludovic-f-audant/
"Bailey, Charles P.",Bailey, Charles P.,29-Apr-43,2nd Lt,SE-43-D,TAAF,Single engine,Puntagorda,FL,"Downed 1 Fw-190 on January 27, 1944; Downed 1 Fw-190 on July 18, 1944",https://cafriseabove.org/charles-paul-bailey-sr/
"Bailey, Harry L.",Bailey, Harry L.,28-Jul-43,2nd Lt,SE-43-G,TAAF,Single engine,Chicago,IL,,
"Bailey, Terry C.",Bailey, Terry C.,23-May-45,Flight Officer,SE-45-C,TAAF,Single engine,Richmond,VA,,https://cafriseabove.org/terry-bailey/
"Bailey, William H.",Bailey, William H.,4-Aug-45,2nd Lt,SE-45-E,TAAF,Single engine,Pittsburg,PA,,
"Baker, Lee Arthur",Baker, Lee Arthur,7-Dec-43,1st Lt,CL-43-3,TAAF,Liaison pilot,,,,
"Baldwin, Henry, Jr.",Baldwin," Henry, Jr.",20-Nov-45,Flight Officer,TE-45-H,TAAF,Twin engine,Philadelphia,PA,,
"Ballard, Alton F.",Ballard, Alton F.,30-Aug-43,2nd Lt,SE-43-H,TAAF,Single engine,Pasadena,CA,,
"Barksdale, James M.",Barksdale, James M.,23-Mar-46,Flight Officer,SE-46-A,TAAF,Single engine,Detroit,MI,,https://cafriseabove.org/artifact/artifact-photo-of-james-m-barksdale-c-o-1946/
"Barland, Herbert C.",Barland, Herbert C.,8-Sep-44,2nd Lt,SE-44-H,TAAF,Single engine,Chicago,IL,,
"Barnes, Gentry E.",Barnes, Gentry E.,15-Apr-44,2nd Lt,SE-44-D,TAAF,Single engine,Lawrenceville,IL,,https://cafriseabove.org/gentry-eugene-barnes/
"Barnett, Herman A.",Barnett, Herman A.,4-Aug-45,Flight Officer,SE-45-E,TAAF,Single engine,Lockhart,TX,,
"Bartley, William R.",Bartley, William R.,28-Jul-43,2nd Lt,SE-43-G,TAAF,Single engine,Jacksonville,FL,,
"Bates, George A.",Bates, George A.,23-Mar-46,Flight Officer,TE-46-A,TAAF,Twin engine,Chicago,IL,,
"Battle, John D.",Battle, John D.,7-Dec-43,2nd Lt,CL-43-3,TAAF,Liaison pilot,New York,NY,,
"Baugh, Howard L.",Baugh, Howard L.,10-Nov-42,2nd Lt,SE-42-J,TAAF,Single engine,Petersburg,VA,"Downed 1 1/2 Fw-190 on January 27, 1944",https://cafriseabove.org/howard-baugh/
"Bee, Clarence, Jr.",Bee," Clarence, Jr.",15-Apr-45,2nd Lt,SE-45-B,TAAF,Single engine,Kansas City,MO,,
"Bell, George E.",Bell, George E.,28-Jun-46,2nd Lt,SE-46-C,TAAF,Single engine,Altoona,PA,,
"Bell, John J.",Bell, John J.,20-Nov-44,Flight Officer,SE-44-I,TAAF,Single engine,Jersey City,NJ,,
"Bell, Lloyd W.",Bell, Lloyd W.,1-Feb-44,2nd Lt,SE-44-K,TAAF,Single engine,Pulaski,IL,,
"Bell, Raul W.",Bell, Raul W.,15-Apr-44,Flight Officer,SE-44-D,TAAF,Single engine,Portland,OR,"Downed 1 Fw-190 on March 31, 1945",
"Bell, Richard H.",Bell, Richard H.,23-May-44,2nd Lt,SE-44-E,TAAF,Single engine,Chicago,IL,,
"Bennet, Henry",Bennet, Henry,22-Oct-43,2nd Lt,CL-43-2,TAAF,Liaison pilot,New Orleans,LA,,
"Bennett, Joseph Bruce",Bennett, Joseph Bruce,29-Jan-46,2nd Lt,SE-45-I,TAAF,Single engine,Halesite,NY,,
"Bibb, William V.",Bibb, William V.,20-Nov-45,2nd Lt,TE-45-H,TAAF,Twin engine,Ottumwa,IA,,
"Bickham, Luzine B.",Bickham, Luzine B.,11-Mar-45,Flight Officer,SE-45-A,TAAF,Single engine,Tuskegee Inst.,AL,,
"Biffle, Richard L., Jr.",Biffle," Richard L., Jr.",1-Feb-44,Flight Officer,SE-44-K,TAAF,Single engine,Denver,CO,,
"Bilbo, Reuben B.",Bilbo, Reuben B.,27-Jun-45,Flight Officer,SE-45-D,TAAF,Single engine,Fresno,CA,,
"Bing, George L.",Bing, George L.,4-Aug-44,2nd Lt,SE-44-G,TAAF,Single engine,Brooklyn,NY,,
"Bishop, Darryl C.",Bishop, Darryl C.,30-Sep-43,2nd Lt,CL-43-1,TAAF,Liaison pilot,Houston,TX,,
"Bizzell, George F.",Bizzell, George F.,22-Oct-43,2nd Lt,CL-43-2,TAAF,Liaison pilot,Dayton,OH,,
"Black, Samuel A., Jr.",Black," Samuel A., Jr.",5-Dec-43,2nd Lt,TE-43-K,TAAF,Twin engine,Plainfield,NJ,,
"Blackwell, Hubron R.",Blackwell, Hubron R.,30-Aug-43,2nd Lt,SE-43-H,TAAF,Single engine,Baltimore,MD,,
"Blaylock, Joseph E.",Blaylock, Joseph E.,27-Jun-45,2nd Lt,SE-45-D,TAAF,Single engine,Albany,GA,,
"Blue, Elliot H.",Blue, Elliot H.,7-Jan-44,2nd Lt,TE-44-A,TAAF,Twin engine,Hampton,VA,,https://cafriseabove.org/elliott-howard-blue/
"Bohannon, Horace A.",Bohannon, Horace A.,28-Dec-44,Flight Officer,SE-44-J,TAAF,Single engine,Atlanta,GA,,
"Bohler, Henry C.L.",Bohler, Henry C.L.,28-Dec-44,Flight Officer,SE-44-J,TAAF,Single engine,Augusta,GA,,
"Bolden, Edgar L.",Bolden, Edgar L.,5-Dec-43,2nd Lt,SE-43-K,TAAF,Single engine,Arlington,VA,,https://cafriseabove.org/edgar-l-bolden/
"Bolden, George C.",Bolden, George C.,8-Sep-45,2nd Lt,TE-45-F,TAAF,Twin engine,Pittsburg,PA,,
"Bolling, George R.",Bolling, George R.,3-Jul-42,2nd Lt,SE-42-F,TAAF,Single engine,Hampton,VA,,
"Bonam, Leonelle A.",Bonam, Leonelle A.,23-May-44,2nd Lt,SE-44-E,TAAF,Single engine,Pascagoula,MS,,
