County1890,Acres 1899
Appling,15234
Baker,7121
Baldwin,5440
Banks,3623
Bartow,5594
Berrien,4604
Bibb,4198
Brooks,14723
Bryan,11157
Bulloch,12379
Burke,28514
Butts,1163
Calhoun,6974
Camden,4052
Campbell,2198
Carroll,4238
Catoosa,672
Charlton,4799
Chatham,6308
Chattahoochee,4879
Chattooga,3508
Cherokee,4175
Clarke,5184
Clay,5859
Clayton,1603
Clinch,5273
Cobb,7373
Coffee,22718
Colquitt,277
Columbia,6158
Coweta,5238
Crawford,9238
Dade,468
Dawson,560
Decatur,41520
Dekalb,1768
Dodge,15901
Dooly,11338
Dougherty,10817
Douglas,5344
Early,18536
Echols,3013
Effingham,11216
Elbert,9500
Emanuel,20467
Fannin,130
Fayette,1563
Floyd,12032
Forsyth,1950
Franklin,3315
Fulton,1141
Gilmer,680
Glascock,298
Glynn,15509
Gordon,2500
Greene,7477
Gwinnett,2714
Habersham,2510
Hall,3534
Hancock,20861
Haralson,2221
Harris,12248
Hart,2806
Heard,3217
Henry,3899
Houston,14204
Irwin,12384
Jackson,5414
Jasper,5785
Jefferson,8100
Johnson,3656
Jones,12399
Laurens,19638
Lee,15319
Liberty,44601
Lincoln,3660
Lowndes,21749
Lumpkin,1948
Macon,7897
Madison,3233
Marion,3854
McDuffie,4492
McIntosh,13760
Meriwether,5221
Miller,9952
Milton,317
Mitchell,17692
Monroe,12516
Montgomery,13836
Morgan,5764
Murray,250
Muscogee,5997
Newton,4209
Oconee,2758
Oglethorpe,9541
Paulding,3098
Pickens,745
Pierce,6645
Pike,4149
Polk,8289
Pulaski,14071
Putnam,6554
Quitman,2233
Rabun,881
Randolph,8041
Richmond,6207
Rockdale,2448
Schley,2386
Screven,14738
Spalding,3582
Stewart,13745
Sumter,13799
Talbot,8948
Taliaferro,7425
Tattnall,15228
Taylor,8955
Telfair,9799
Terrell,10452
Thomas,22947
Towns,480
Troup,8331
Twiggs,7998
Union,164
Upson,8514
Walker,2684
Walton,4772
Ware,1019
Warren,2189
Washington,11147
Wayne,11479
Webster,4479
White,1026
Whitfield,2773
Wilcox,9470
Wilkes,13700
Wilkinson,6900
Worth,7575

