Count,Source,Destination
1931,Costa da Mina,"Bahia, port unspecified"
1592,NA,NA
1256,Luanda,Rio de Janeiro
1107,"Africa., port unspecified",NA
864,"Africa., port unspecified",Havana
809,"Africa., port unspecified","Barbados, port unspecified"
756,Luanda,"Pernambuco, port unspecified"
735,Luanda,"Bahia, port unspecified"
689,"Africa., port unspecified","Jamaica, port unspecified"
505,Benguela,Rio de Janeiro
389,Cabinda,Rio de Janeiro
382,"Africa., port unspecified","Cuba, port unspecified"
298,"Africa., port unspecified",Kingston
245,"Africa., port unspecified","Americas, port unspecified"
237,Bonny,Kingston
224,"West Central Africa and St. Helena, port unspecified",Cap Francais
221,"Africa., port unspecified",Saint John (Antigua)
194,"Africa., port unspecified","St. Kitts, port unspecified"
191,Benguela,"Bahia, port unspecified"
185,"Gold Coast, port unspecified",Kingston
179,Whydah,"Bahia, port unspecified"
175,Luanda,NA
173,Mozambique,Rio de Janeiro
168,"Africa., port unspecified",Santiago de Cuba
162,Malembo,"Bahia, port unspecified"
157,"Africa., port unspecified","Bahia, port unspecified"
156,"Gold Coast, port unspecified","Barbados, port unspecified"
149,"West Central Africa and St. Helena, port unspecified",Kingston
146,"Gold Coast, port unspecified","Jamaica, port unspecified"
145,Anomabu,Kingston
144,Bissau,Maranhao
141,"Africa., port unspecified","Martinique, port unspecified"
137,"West Central Africa and St. Helena, port unspecified",Cartagena
132,Whydah,Cap Francais
132,Gambia,Charleston
131,"Africa., port unspecified",Charleston
127,Luanda,Veracruz
125,Cabinda,"Bahia, port unspecified"
123,Quilimane,Rio de Janeiro
123,Portuguese Guinea,Cartagena
121,"Africa., port unspecified",Cartagena
120,Costa da Mina,"Pernambuco, port unspecified"
115,Anomabu,"Jamaica, port unspecified"
114,Luanda,Cartagena
114,Bonny,"Jamaica, port unspecified"
113,Windward + Ivory + Gold + Benin,Suriname
111,Malembo,Cap Francais
110,Sao Tome,"Bahia, port unspecified"
109,Whydah,"Martinique, port unspecified"
108,Gambia,NA
106,"West Central Africa and St. Helena, port unspecified",New Spain
103,Calabar,Kingston
103,"Africa., port unspecified","Spanish Americas, port unspecified"
101,"West Central Africa and St. Helena, port unspecified","Jamaica, port unspecified"
101,"Gold Coast, port unspecified",NA
98,Cacheu,Maranhao
97,Bonny,"Barbados, port unspecified"
96,Whydah,"Jamaica, port unspecified"
96,Ambriz,Rio de Janeiro
95,"Lagos, Onim","Bahia, port unspecified"
94,Gambia,"Barbados, port unspecified"
92,Whydah,"Barbados, port unspecified"
91,Congo North,Suriname
90,Calabar,"Barbados, port unspecified"
88,Cape Coast Castle,"Barbados, port unspecified"
88,"Africa., port unspecified",Suriname
87,Cape Verde Islands,Cartagena
84,"Africa., port unspecified",St. Thomas
79,Elmina,Suriname
77,"Africa., port unspecified",Cap Francais
76,Bonny,"Dominica, port unspecified"
74,"Africa., port unspecified",Rio de Janeiro
72,"West Central Africa and St. Helena, port unspecified","Barbados, port unspecified"
72,Anomabu,"Barbados, port unspecified"
72,"Africa., port unspecified","Grenada, port unspecified"
69,Elmina,"Pernambuco, port unspecified"
68,"West Central Africa and St. Helena, port unspecified",Port-au-Prince
68,Cabinda,Cap Francais
68,Bonny,"St. Kitts, port unspecified"
68,"Africa., port unspecified",Trinidad de Cuba
68,"Africa., port unspecified",Buenos Aires
66,"West Central Africa and St. Helena, port unspecified",NA
66,"Gold Coast, port unspecified",Charleston
66,Calabar,"Jamaica, port unspecified"
65,"West Central Africa and St. Helena, port unspecified","Martinique, port unspecified"
65,Ardra,Curacao
65,"Africa., port unspecified","Rio de Janeiro, Sao Paulo, Santa Catarina"
63,Bonny,NA
62,Sao Tome,Havana
62,Saint-Louis,NA
61,"Gold Coast, Fr. definition",Cap Francais
61,"Africa., port unspecified",West Indies (colony unspecified)
59,Cape Coast Castle,Kingston
59,Calabar,NA
57,Princes Island,"Bahia, port unspecified"
57,"Lagos, Onim",Freetown
57,Bonny,Freetown
57,"Africa., port unspecified",Matanzas
56,"Windward Coast, port unspecified","Barbados, port unspecified"
56,Cape Verde Islands,"Spanish Circum-Caribbean,unspecified"
55,"West Central Africa and St. Helena, port unspecified",Charleston
55,Sierra Leone estuary,"Barbados, port unspecified"
55,Luanda,Buenos Aires
55,Calabar,"Dominica, port unspecified"
55,Bissau,Para
54,Cape Verde Islands,New Spain
