County,Population
APPLING,1000 - 2500
BAKER,2500 - 5000
BALDWIN,5000 - 10000
BANKS,1000 - 2500
BARTOW,5000 - 10000
BERRIEN,1000 - 2500
BIBB,20000 - 30000
BIBB02,20000 - 30000
BROOKS,5000 - 10000
BRYAN,2500 - 5000
BULLOCH,2500 - 5000
BURKE,20000 - 30000
BUTTS,5000 - 10000
CALHOUN,5000 - 10000
CAMDEN,2500 - 5000
CAMPBELL,2500 - 5000
CARROLL,2500 - 5000
CATOOSA,> 1000
CHARLTON,> 1000
CHATHAM,> 30000
CHATTAHOOCHEE,2500 - 5000
CHATTOOGA,1000 - 2500
CHEROKEE,1000 - 2500
CLARKE,5000 - 10000
CLAY,2500 - 5000
CLAYTON,2500 - 5000
CLINCH,1000 - 2500
COBB,5000 - 10000
COFFEE,2500 - 5000
COLQUITT,> 1000
COLUMBIA,5000 - 10000
COWETA,10000 - 15000
CRAWFORD,5000 - 10000
DADE,1000 - 2500
DAWSON,> 1000
DECATUR,10000 - 15000
DEKALB,5000 - 10000
DODGE,5000 - 10000
DOOLY,5000 - 10000
DOUGHERTY,10000 - 15000
DOUGLAS,1000 - 2500
EARLY,5000 - 10000
ECHOLS,1000 - 2500
EFFINGHAM,1000 - 2500
ELBERT,5000 - 10000
EMANUEL,5000 - 10000
FANNIN,> 1000
FAYETTE,2500 - 5000
FLOYD,10000 - 15000
FORSYTH,1000 - 2500
FRANKLIN,2500 - 5000
FULTON,> 30000
GILMER,> 1000
GLASCOCK,1000 - 2500
GLYNN,5000 - 10000
GORDON,1000 - 2500
GREENE,10000 - 15000
GWINNETT,2500 - 5000
HABERSHAM,1000 - 2500
HALL,2500 - 5000
HANCOCK,10000 - 15000
HARALSON,1000 - 2500
HARRIS,10000 - 15000
HART,2500 - 5000
HEARD,2500 - 5000
HENRY,5000 - 10000
HOUSTON,10000 - 15000
IRWIN,1000 - 2500
JACKSON,5000 - 10000
JASPER,5000 - 10000
JEFFERSON,10000 - 15000
JOHNSON,1000 - 2500
JONES,5000 - 10000
LAURENS,5000 - 10000
LEE,5000 - 10000
LIBERTY,5000 - 10000
LINCOLN,2500 - 5000
LOWNDES,5000 - 10000
LUMPKIN,> 1000
MACON,5000 - 10000
MADISON,2500 - 5000
MARION,2500 - 5000
MARION03,2500 - 5000
McDUFFIE,5000 - 10000
McINTOSH,5000 - 10000
MERIWETHER,10000 - 15000
MILLER,1000 - 2500
MILTON,> 1000
MITCHELL,5000 - 10000
MONROE,10000 - 15000
MONTGOMERY,2500 - 5000
MORGAN,10000 - 15000
MURRAY,> 1000
MUSCOGEE,10000 - 15000
NEWTON,5000 - 10000
OCONEE,2500 - 5000
OGLETHORPE,10000 - 15000
PAULDING,1000 - 2500
PICKENS,> 1000
PIERCE,1000 - 2500
PIKE,5000 - 10000
POLK,2500 - 5000
PULASKI,10000 - 15000
PUTNAM,10000 - 15000
QUITMAN,2500 - 5000
RABUN,> 1000
RANDOLPH,5000 - 10000
RICHMOND,20000 - 30000
ROCKDALE,2500 - 5000
SCHLEY,2500 - 5000
SCREVEN,2500 - 5000
SPALDING,5000 - 10000
STEWART,10000 - 15000
SUMTER,15000 - 20000
TALBOT,5000 - 10000
TALIAFERRO,2500 - 5000
TATTNALL,2500 - 5000
TAYLOR,2500 - 5000
TELFAIR,1000 - 2500
TERRELL,5000 - 10000
THOMAS,15000 - 20000
TOWNS,> 1000
TROUP,10000 - 15000
TWIGGS,5000 - 10000
UNION,> 1000
UPSON,5000 - 10000
WALKER,1000 - 2500
WALTON,5000 - 10000
WARE,2500 - 5000
WARREN,5000 - 10000
WASHINGTON,10000 - 15000
WAYNE,1000 - 2500
WEBSTER,2500 - 5000
WHITE,> 1000
WHITFIELD,1000 - 2500
WILCOX,2500 - 5000
WILKES,10000 - 15000
WILKINSON,5000 - 10000
WORTH,2500 - 5000
