State,Category
AL,8-15
AR,4-8
AZ,Less than 1
CA,Less than 1
CO,Less than 1
CT,1-4
DE,1-4
FL,1-4
GA,8-15
IA,Less than 1
ID,Less than 1
IL,1-4
IN,1-4
KS,Less than 1
KY,4-8
LA,8-15
MA,1-4
MD,15-25
ME,Less than 1
MI,Less than 1
MN,Less than 1
MO,1-4
MS,15-25
MT,Less than 1
NC,8-15
ND,Less than 1
NE,Less than 1
NH,Less than 1
NJ,4-8
NM,Less than 1
NV,Less than 1
NY,1-4
OH,1-4
OK,Less than 1
OR,Less than 1
PA,1-4
RI,1-4
SC,15-25
SD,Less than 1
TN,8-15
TX,1-4
UT,Less than 1
VA,15-25
VT,Less than 1
WA,Less than 1
WI,Less than 1
WV,1-4
WY,Less than 1
