State,Population
AL,"600,000 - 750,000"
AR,"300,000 - 500,000"
AZ,"UNDER - 10,000"
CA,"10,000 - 25,000"
CO,"UNDER - 10,000"
CT,"10,000 - 25,000"
DE,"25,000 - 50,000"
FL,"100,000 - 200,000"
GA,"750,000 AND OVER"
IA,"10,000 - 25,000"
ID,"UNDER - 10,000"
IL,"50,000 - 100,000"
IN,"25,000 - 50,000"
KS,"25,000 - 50,000"
KY,"200,000 - 300,000"
LA,"500,000 - 600,000"
MA,"10,000 - 25,000"
MD,"200,000 - 300,000"
ME,"UNDER - 10,000"
MI,"10,000 - 25,000"
MN,"UNDER - 10,000"
MO,"100,000 - 200,000"
MS,"600,000 - 750,000"
MT,"UNDER - 10,000"
NC,"500,000 - 600,000"
ND,"UNDER - 10,000"
NE,"UNDER - 10,000"
NH,"UNDER - 10,000"
NJ,"25,000 - 50,000"
NM,"UNDER - 10,0000"
NV,"UNDER - 10,000"
NY,"50,000 - 100,000"
OH,"50,000 - 100,000"
OK,"UNDER - 10,000"
OR,"UNDER - 10,000"
PA,"100,000 - 200,000"
RI,"500,000 - 600,000"
SC,"600,000 - 750,000"
SD,"UNDER - 10,000"
TN,"300,000 - 500,000"
TX,"300,000 - 500,000"
UT,"UNDER - 10,000"
VA,"600,000 - 750,000"
VT,"UNDER - 10,000"
WA,"UNDER - 10,000"
WI,"UNDER - 10,000"
WV,"25,000 - 50,000"
WY,"UNDER - 10,000"
