County1890,County1890up,Black population 1890,Acres 1899,color,mostly black,FIPS code,population 2010,Area sq mi,Acres 1899/Area sq mi,Census Population 1890,City,lat,lon
Appling,APPLING,2462,15234,blue,0,001,18368,908,2.6%,8676,,,
Baker,BAKER,4549,7121,blue,1,007,3366,349,3.2%,6144,,,
Baldwin,BALDWIN,9343,5440,lightgray,1,009,46367,268,3.2%,14608,,,
Banks,BANKS,1563,3623,yellow,0,011,18316,234,2.4%,8562,,,
Bartow,BARTOW,6041,5594,pink,0,015,100661,470,1.9%,20616,,,
Berrien,BERRIEN,2417,4604,red,0,019,19041,837,0.9%,10694,,,
Bibb,BIBB,23336,4198,lightgray,1,021,156462,254,2.6%,42370,,,
Brooks,BROOKS,7637,14723,pink,1,027,15403,498,4.6%,13979,,,
Bryan,BRYAN,2687,11157,green,0,029,32214,448,3.9%,5520,,,
Bulloch,BULLOCH,4689,12379,pink,0,031,72694,864,2.2%,13712,,,
Burke,BURKE,22680,28514,red,1,033,23125,981,4.5%,28501,,,
Butts,BUTTS,5398,1163,yellow,1,035,23524,187,1.0%,10565,,,
Calhoun,CALHOUN,6199,6974,lightgray,1,037,6504,284,3.8%,8438,,,
Camden,CAMDEN,4137,4052,brown,1,039,51402,652,1.0%,6178,,,
Campbell,CAMPBELL,3493,2198,red,0,,,207,1.7%,9115,,,
Carroll,CARROLL,3851,4238,lightgray,0,045,111580,504,1.3%,22301,,,
Catoosa,CATOOSA,636,672,brown,0,047,65046,162,0.6%,5431,,,
Charlton,CHARLTON,870,4799,lightgray,0,049,13295,799,0.9%,3335,,,
Chatham,CHATHAM,34757,6308,yellow,1,051,276434,468,2.1%,57740,,,
Chattahoochee,CHATTAHOOCHEE,3065,4879,pink,1,053,13037,251,3.0%,4902,,,
Chattooga,CHATTOOGA,1998,3508,red,0,055,25725,314,1.7%,11202,,,
Cherokee,CHEROKEE,1508,4175,yellow,0,057,221315,434,1.5%,15412,,,
Clarke,CLARKE,8111,5184,brown,1,059,120266,121,6.7%,15186,,,
Clay,CLAY,4815,5859,pink,1,061,3116,216,4.2%,7817,,,
Clayton,CLAYTON,3075,1603,brown,0,063,265888,143,1.8%,8295,,,
Clinch,CLINCH,2360,5273,brown,0,065,6718,951,0.9%,6652,,,
Cobb,COBB,6774,7373,lightgray,0,067,707442,346,3.3%,22286,,,
Coffee,COFFEE,3858,22718,lightgray,0,069,43170,1083,3.3%,10483,,,
Colquitt,COLQUITT,477,277,lightgray,0,071,46137,557,0.1%,4794,,,
Columbia,COLUMBIA,8038,6158,lightgray,1,073,131627,308,3.1%,11281,,,
Coweta,COWETA,12612,5238,blue,1,077,130929,446,1.8%,22354,,,
Crawford,CRAWFORD,5156,9238,yellow,1,079,12600,328,4.4%,9315,,,
Dade,DADE,1093,468,blue,0,083,16490,174,0.4%,5707,,,
Dawson,DAWSON,259,560,red,0,085,22422,214,0.4%,5612,,,
Decatur,DECATUR,10811,41520,brown,1,087,27509,1129,5.7%,19949,,,
Dekalb,DEKALB,5974,1768,green,0,089,707089,271,1.0%,17189,,,
Dodge,DODGE,5309,15901,yellow,0,091,21329,505,4.9%,11452,,,
Dooly,DOOLY,8914,11338,brown,0,093,14318,709,2.5%,18146,,,
Dougherty,DOUGHERTY,10231,10817,brown,1,095,94501,334,5.1%,12206,,,
Douglas,DOUGLAS,1801,5344,pink,0,097,133971,200,4.2%,7794,,,
Early,EARLY,6122,18536,red,1,099,10594,516,5.6%,9792,,,
Echols,ECHOLS,1020,3013,green,0,101,3988,420,1.1%,3079,,,
Effingham,EFFINGHAM,2210,11216,lightgray,0,103,53293,483,3.6%,5599,,,
Elbert,ELBERT,7884,9500,brown,1,105,19684,369,4.0%,15376,,,
Emanuel,EMANUEL,5306,20467,blue,0,107,22898,1053,3.0%,14703,,,
Fannin,FANNIN,112,130,blue,0,111,23492,391,0.1%,8724,,,
Fayette,FAYETTE,3074,1563,green,0,113,107524,199,1.2%,8728,,,
Floyd,FLOYD,10414,12032,brown,0,115,96177,514,3.7%,28391,,,
Forsyth,FORSYTH,1288,1950,green,0,117,187928,247,1.2%,11155,,,
Franklin,FRANKLIN,3298,3315,green,0,119,21894,428,1.2%,14670,,,
Fulton,FULTON,35397,1141,yellow,0,121,1041423,180,1.0%,84655,,,
Gilmer,GILMER,69,680,brown,0,123,28190,432,0.2%,9074,,,
Glascock,GLASCOCK,1168,298,red,0,125,3142,144,0.3%,3720,,,
Glynn,GLYNN,7741,15509,blue,1,127,81022,438,5.5%,13420,,,
