year,control_n,pctunderbkaat,pctunderwhitt
1995,3,7.448499,3.64571
1996,3,7.538774,3.574949
1997,3,7.146708,3.29165
1998,3,6.884762,3.292242
1999,3,7.214427,3.634142
2000,3,7.421838,3.578652
2001,3,7.426902,3.398357
2002,3,8.415788,3.735366
2003,3,8.683502,3.629119
2004,3,9.926032,4.145864
2005,3,10.87337,4.707864
2006,3,12.14934,5.260962
2007,3,12.3966,5.138046
2008,3,13.23893,5.54493
2009,3,15.55692,6.145695
2010,3,17.74415,7.058594
2011,3,19.06433,7.936503
2012,3,18.5277,7.888471
2013,3,18.05778,7.365822
2014,3,17.39003,6.865711
2015,3,16.82232,6.385098
